route_id,stop_sequence,member_index,stop_id,member_osm_type,member_osm_id,member_role
relation:10690422,1,1,node:6379656488,node,6379656488,stop_entry_only
relation:10690422,2,2,way:742363649,way,742363649,platform
relation:10690422,3,3,node:8519477450,node,8519477450,stop
relation:10690422,4,4,way:773783027,way,773783027,platform
relation:10690422,5,5,node:2936356921,node,2936356921,stop_exit_only
relation:15045923,1,1,node:6379656488,node,6379656488,stop_entry_only
relation:15045923,2,2,way:742363649,way,742363649,platform_entry_only
relation:15045923,3,3,node:2972932777,node,2972932777,stop
relation:15045923,4,4,node:5927884962,node,5927884962,stop
relation:15045923,5,5,node:10285427459,node,10285427459,stop
relation:15045923,6,6,node:2531985956,node,2531985956,stop
relation:15045923,7,7,node:6071905557,node,6071905557,stop
relation:15045923,8,8,node:10254129857,node,10254129857,stop_entry_only
relation:15045923,9,9,node:10254129858,node,10254129858,stop
relation:15045923,10,10,node:2936356921,node,2936356921,stop_exit_only
relation:15045924,1,1,node:1757672623,node,1757672623,stop_entry_only
relation:15045924,2,2,node:1694610835,node,1694610835,stop
relation:15045924,3,3,node:1260581113,node,1260581113,stop
relation:15045924,4,4,node:6071905557,node,6071905557,stop
relation:15045924,5,5,node:2531985956,node,2531985956,stop
relation:15045924,6,6,node:10285427459,node,10285427459,stop
relation:15045924,7,7,node:5927884962,node,5927884962,stop
relation:15045924,8,8,node:7169491404,node,7169491404,stop
relation:15045924,9,9,node:5995809583,node,5995809583,stop_exit_only
relation:15045924,10,10,way:742363647,way,742363647,platform_exit_only
relation:18311775,1,1,node:4691858168,node,4691858168,stop
relation:18311775,2,2,node:2540588447,node,2540588447,stop
relation:18311775,3,3,node:25515337,node,25515337,stop
relation:18311775,4,4,node:3716686755,node,3716686755,stop
relation:6736832,1,1,node:9206525697,node,9206525697,platform
relation:8202470,1,1,node:1757672623,node,1757672623,stop_entry_only
relation:8202470,2,2,node:7936342865,node,7936342865,stop_entry_only
relation:8202470,3,3,node:7222658320,node,7222658320,stop_exit_only
relation:8202470,4,4,way:773783028,way,773783028,platform_exit_only
relation:8202470,5,5,node:5995809583,node,5995809583,stop_exit_only
relation:8202470,6,6,way:742363647,way,742363647,platform_exit_only
relation:9235088,1,1,node:1757672623,node,1757672623,stop_entry_only
